"","denial","adversary","esca_scaled","esca_scaled_wa","MA_scaled","GovTrust","NewsTrust","IntTrust","NC_scaled","Military.Service","Read.FP","reputation_scaled","ambiguity","insulting","war","airstrike","sanctions","diplomacy","age","male","hhi","white","black","education","republican","democrat"
"361",0,1,50.6411828670569,47.3754860650766,0.700151046857489,2,1,3,0.361114102831249,0,2,83.1195914964939,4,5,3,2,4,3,42,0,1,1,0,4,0,0
"362",0,1,24.9219887606688,24.9546919580925,-4.0281919402639,1,3,3,-1.1540520812377,0,4,33.5196781183786,3,1,1,2,2,3,27,0,6,1,0,6,0,1
"363",1,1,44.1207434615661,39.8467997858601,-0.994169916973735,3,3,2,0.0261649645742542,1,2,50.1589477332511,3,4,2,2,3,4,70,1,3,1,0,2,1,0
"364",1,1,56.3644169268284,57.4380701954014,-0.211596374252489,3,2,2,0.361114102831249,0,3,50.8001732437695,3,4,2,3,4,4,47,1,4,1,0,1,0,0
"365",1,1,50,50,0.163847792907907,3,3,3,-0.396468989203223,0,1,100,3,2,3,3,3,3,35,0,1,1,0,2,1,0
"366",0,1,38.3447574415885,33.4952670347536,0.861010133646675,2,3,4,0.0261649645742542,0,4,41.6392696148725,4,3,1,1,4,4,63,0,4,1,0,6,0,1
"367",0,1,87.7815858138628,86.1650890115845,0.570977168468757,4,2,4,0.361114102831249,1,4,91.4803218816214,4,5,4,4,5,5,73,1,4,1,0,1,1,0
"368",0,1,74.9472480397939,78.7110513792183,1.48272458957873,2,2,4,-0.0615198509462284,0,3,41.8804085035062,4,5,2,4,5,5,46,0,1,1,0,2,0,0
"369",1,1,50,50,0.635564107663123,4,3,1,0.696063241088244,0,1,50,3,5,3,3,3,3,43,0,8,0,1,4,0,1
"370",0,1,62.0876509865999,67.5006543257263,-1.77674345969498,2,2,4,-0.819102942980701,0,3,42.439442858642,3,1,1,4,4,5,43,0,23,1,0,7,0,1
"371",0,1,87.1656622259311,92.5459623676338,-0.211596374252489,4,4,4,0.361114102831249,1,5,58.9197647402634,3,4,3,5,5,5,75,1,19,1,0,6,0,1
"372",1,1,43.6080903920907,50.0293406049427,-2.55931700241623,3,3,4,-0.396468989203223,0,2,58.3607303851275,3,3,1,3,4,3,40,0,9,0,0,5,0,1
