"","denial","adversary","esca_scaled","MA_scaled","GovTrust","NewsTrust","IntTrust","NC_scaled","Read.FP","reputation_scaled","ambiguity","insulting","war","airstrike","sanctions","diplomacy","age","male","hhi","white","black","education","republican","democrat"
"19",1,1,75,0.443343138814045,4,4,4,0.606926920673684,1,50,4,2,4,4,4,4,60,1,12,1,0,7,0,0
"27",1,1,57.8980498796051,-0.428292551024868,2,1,3,-0.491805296921572,4,66.4236609185356,3,3,2,3,4,4,26,0,21,0,0,5,0,1
"29",1,1,88.4604191963038,0.443343138814045,2,1,3,-0.0309045204251778,4,83.5763390814644,4,2,3,5,5,5,80,1,12,1,0,6,1,0
"33",0,1,65.7960997592102,-2.93704243918696,5,5,4,0.288011200124253,1,24.4694812207408,4,1,1,3,5,5,56,1,1,NA,0,4,0,1
"37",1,1,41.0035208443596,-2.06540674934805,2,4,4,-1.12963673802043,3,41.6221593836696,4,2,1,1,4,4,71,0,1,1,0,4,0,1
"38",0,1,88.4604191963038,-2.11848534002537,3,3,NA,0.288011200124253,4,75.3320203141251,4,4,3,5,5,5,29,1,16,0,0,6,0,0
"39",0,1,77.3356805629064,0.496421729491369,4,2,1,0.606926920673684,3,100,4,4,3,3,5,5,69,1,12,NA,0,8,1,0
"43",1,1,81.6997504759944,0.443343138814045,4,4,3,-0.42081276894809,1,33.5763390814644,4,2,4,4,4,5,58,0,7,1,0,5,0,1
"44",0,1,88.4604191963038,1.31497882865296,4,2,4,-0.101897048398659,4,100,4,4,3,5,5,5,69,0,4,1,0,5,1,0
"45",1,1,39.5978003555995,-0.428292551024868,3,4,3,0.288011200124253,2,0,3,3,1,2,3,4,22,1,1,0,0,2,0,1
"46",1,1,93.3002495240056,1.31497882865296,3,1,2,-0.0309045204251778,2,24.6679796858749,4,5,5,5,5,4,61,0,3,1,0,4,0,0
"47",0,1,82.6906287944558,1.31497882865296,4,4,4,0.677919448647165,4,75,4,5,2,5,5,5,46,1,19,1,0,4,0,0
"50",1,1,39.5978003555995,-2.70096610437162,3,4,4,-0.101897048398659,1,50.1984984651341,3,2,1,2,3,4,43,0,4,1,0,5,0,1
"51",0,1,60.2337304425115,3.00517161765346,2,2,2,0.677919448647165,4,100,4,5,1,2,5,5,81,0,7,1,0,4,1,0
"54",0,1,66.0035208443596,-0.375213960347544,3,3,4,-0.810721017471003,3,83.5763390814644,4,4,2,2,5,5,53,0,12,1,0,6,0,1
"55",1,1,82.8980498796051,-0.719532933197993,4,4,4,-0.101897048398659,4,24.6679796858749,4,3,3,4,5,5,42,1,5,1,0,4,0,1
"56",0,1,71.3584690759089,-2.06540674934805,2,2,2,-0.42081276894809,4,50,3,3,1,4,5,5,56,0,4,1,0,6,0,1
"57",1,1,100,1.31497882865296,2,1,2,0.217018672150771,4,91.4236609185356,4,3,5,5,5,5,51,0,14,1,0,6,1,0
"59",0,1,50.2074210851494,-1.24684965018646,2,1,2,-0.0309045204251778,2,67.8167187911792,4,1,4,2,3,3,22,1,NA,0,0,2,0,0
"60",1,1,100,0.0221836031802299,5,1,1,0.996835169196596,3,91.4236609185356,4,5,5,5,5,5,53,0,12,1,0,2,0,0
"62",1,1,82.8980498796051,0.549500320168694,1,1,3,0.288011200124253,1,100,4,4,3,4,5,5,47,1,14,1,0,5,1,0
"63",1,1,70.635930086912,-2.06540674934805,1,1,3,-0.101897048398659,5,42.1526781629289,4,3,3,3,5,4,57,0,13,1,0,4,1,0
"65",0,1,82.8980498796051,0.443343138814045,4,3,3,0.606926920673684,4,100,4,5,3,4,5,5,53,1,19,1,0,4,0,0
"68",0,1,47.9716106498184,-2.06540674934805,2,2,4,-0.101897048398659,2,83.3778406163304,4,2,1,1,5,4,39,0,9,0,0,6,0,1
"71",1,1,27.3356805629064,3.34949059050391,5,4,3,0.677919448647165,3,59.1068578607237,4,4,1,1,3,3,29,0,1,1,0,2,0,1
"72",1,1,34.3037703683652,-2.4097257221985,2,3,3,-0.42081276894809,4,49.4694812207408,4,2,1,1,4,3,22,0,1,0,1,6,0,1
"73",0,1,83.1054709647545,-1.19377105950913,2,4,4,-0.101897048398659,2,51.0610375585184,4,4,4,3,5,5,50,0,5,1,0,2,0,1
"74",1,1,60.2337304425115,-2.80712328572627,3,5,3,-0.101897048398659,5,58.3778406163304,4,4,1,2,5,5,28,1,NA,0,1,5,0,1
"76",0,1,33.7670917094363,-3.22828282136008,1,2,4,-0.739728489497521,3,25.5305187792592,4,3,1,1,2,5,20,0,NA,1,0,6,0,1
"78",1,1,71.5658901610583,1.31497882865296,4,2,4,0.217018672150771,5,91.9541796977948,3,4,2,3,5,5,48,1,2,0,0,5,0,1
"80",1,1,34.3037703683652,-0.375213960347544,2,1,3,-0.42081276894809,4,16.9541796977948,3,2,1,1,4,3,32,0,15,1,0,6,0,1
"82",0,1,100,3.34949059050391,2,1,1,-0.491805296921572,4,100,4,4,5,5,5,5,57,1,21,1,0,6,1,0
"83",0,1,NA,0.443343138814045,1,1,2,-0.172889576372141,1,75.3320203141251,4,4,4,4,NA,1,35,1,1,1,0,1,0,0
"84",1,1,34.3037703683652,-3.62568038488786,1,1,4,-0.810721017471003,4,33.3778406163304,3,2,1,1,4,3,26,0,4,1,0,5,0,1
"85",0,1,70.635930086912,-1.59116862303691,2,3,3,-0.739728489497521,3,66.9541796977948,4,2,3,3,5,4,35,0,1,1,0,2,0,1
"86",1,1,68.3002495240056,2.53093349134232,3,2,4,0.606926920673684,4,49.8015015348659,3,1,4,4,4,3,42,0,2,1,0,2,0,1
"87",0,1,88.6678402814532,1.65929780150341,2,2,3,-0.739728489497521,5,83.9083593955896,4,5,4,4,5,5,60,1,19,1,0,6,0,1
"89",1,1,57.4222894649913,-1.53809003235958,2,1,2,-0.101897048398659,2,16.9541796977948,3,2,1,4,3,5,32,1,3,1,0,1,0,1
"91",0,1,94.4376306833013,2.13353592781455,2,2,4,-0.0309045204251778,3,83.0458203022052,4,1,5,4,5,5,49,1,1,1,0,3,1,0
"93",1,1,88.4604191963038,3.34949059050391,3,2,3,0.996835169196596,1,100,4,5,3,5,5,5,76,1,11,1,0,5,1,0
"113",0,1,82.8980498796051,-1.24684965018646,3,3,3,0.288011200124253,5,50,4,3,3,4,5,5,56,1,2,1,0,2,0,1
"124",1,1,88.4604191963038,3.00517161765346,4,3,2,-0.42081276894809,2,83.5763390814644,4,4,3,5,5,5,63,0,5,1,0,8,1,0
"126",1,1,100,-3.4112805654981,2,2,4,-1.12963673802043,4,100,4,5,5,5,5,5,39,1,10,1,0,6,0,1
"130",1,1,66.0035208443596,-2.06540674934805,4,4,4,-0.42081276894809,4,75,4,2,2,2,5,5,71,0,3,1,0,2,0,1
"133",0,1,63.6678402814532,3.34949059050391,2,1,2,0.288011200124253,2,83.9083593955896,4,5,3,3,4,4,51,0,NA,1,0,8,1,0
"137",0,1,82.6906287944558,1.65929780150341,4,4,4,0.288011200124253,5,91.9541796977948,4,5,2,5,5,5,71,0,8,1,0,6,0,1
"139",1,1,0,-4.7885564568999,1,1,4,-1.12963673802043,1,0,2,1,1,1,1,1,46,0,3,1,0,7,0,1
"140",1,1,60.2337304425115,1.26190023797563,1,1,4,-0.810721017471003,5,100,3,5,1,2,5,5,68,0,12,1,0,8,1,0
"141",0,1,76.9208383926077,3.00517161765346,1,1,3,0.677919448647165,4,100,4,4,1,5,5,5,73,0,NA,1,0,8,1,0
"143",0,1,82.6906287944558,2.13353592781455,4,4,4,0.288011200124253,4,75,4,4,2,5,5,5,36,1,1,1,0,2,1,0
"144",0,1,71.3584690759089,2.13353592781455,4,4,4,0.288011200124253,5,83.9083593955896,4,3,1,4,5,5,66,1,12,NA,0,8,0,1
"149",0,1,39.8052214407488,-1.24684965018646,3,3,4,-0.42081276894809,3,41.9541796977948,3,3,2,1,3,4,21,0,3,1,0,4,0,1
"152",1,1,46.5658901610583,-1.19377105950913,4,4,4,-0.42081276894809,4,8.57633908146444,4,2,1,2,4,4,61,0,5,1,0,8,0,1
"154",1,1,94.2302095981519,0.099024165963596,4,4,3,0.606926920673684,3,100,4,5,4,5,5,5,72,1,10,1,0,4,0,1
"155",1,1,93.3002495240056,-0.0839735781744181,4,2,4,-0.739728489497521,1,100,4,5,5,5,5,4,62,0,3,1,0,6,0,1
"161",0,1,63.6678402814532,1.26190023797563,4,4,4,-0.101897048398659,2,41.6221593836696,4,4,3,3,4,4,77,0,9,NA,0,7,1,0
"163",0,1,57.8980498796051,-2.06540674934805,3,2,2,-0.42081276894809,1,42.484698477054,4,3,2,3,4,4,74,0,2,1,0,4,1,0
"165",0,1,63.4604191963038,0.443343138814045,3,3,3,-0.42081276894809,4,58.5763390814644,4,1,2,4,4,4,76,0,8,1,0,6,0,0
"167",0,1,82.8980498796051,2.13353592781455,4,3,3,0.288011200124253,4,75.1984984651341,4,5,3,4,5,5,78,1,11,1,0,6,1,0
"168",1,1,88.4604191963038,3.00517161765346,4,4,4,0.288011200124253,4,50.3969969302682,4,5,3,5,5,5,53,1,9,1,0,5,1,0
"169",1,1,52.128259477757,-1.11693049672577,3,2,3,0.288011200124253,3,25.1984984651341,4,5,1,3,4,4,89,0,3,1,0,6,1,0
"170",1,1,50,-0.719532933197993,3,3,3,-1.12963673802043,1,100,4,5,3,3,3,3,40,0,18,0,0,8,0,1
"172",0,1,100,1.97221469910211,3,1,3,0.217018672150771,4,100,4,5,5,5,5,5,68,0,10,1,0,2,1,0
"176",1,1,82.8980498796051,0.787662111664495,4,4,3,0.288011200124253,5,100,4,3,3,4,5,5,59,0,7,1,0,5,1,0
"182",1,1,59.0963492832158,-2.75404469504895,1,1,2,0.288011200124253,1,50.5305187792592,4,2,1,3,5,4,71,1,1,1,0,8,1,0
"187",1,1,57.8980498796051,0.970659855802509,4,4,3,0.606926920673684,3,50.1984984651341,3,4,2,3,4,4,60,0,6,1,0,6,0,1
"189",1,1,24.0700399258537,0.734583520987171,5,5,4,-0.42081276894809,5,16.4236609185356,1,1,3,2,2,1,25,1,1,1,0,8,0,1
"191",0,1,50,-0.375213960347544,5,3,3,0.996835169196596,1,50,3,3,3,3,3,3,43,0,1,1,0,4,0,1
"195",0,1,63.6678402814532,1.31497882865296,4,4,4,0.677919448647165,2,50.1984984651341,4,2,3,3,4,4,39,1,1,0,0,3,0,1
"196",0,1,50,-1.06385190604844,4,4,2,-0.101897048398659,1,50,3,2,3,3,3,3,43,0,3,1,0,7,1,0
"208",1,1,81.7606687203095,-1.24684965018646,3,2,3,-0.42081276894809,4,41.6221593836696,4,4,3,5,5,4,47,1,11,1,0,6,0,1
"216",1,1,34.0354310389007,-3.28136141203741,1,2,3,-0.810721017471003,3,50.5305187792592,3,3,1,1,3,4,32,0,13,1,0,2,0,0
"229",0,1,82.8980498796051,-2.11848534002537,4,3,3,-0.101897048398659,5,58.5763390814644,4,5,3,4,5,5,75,0,20,1,0,3,0,1
"236",1,1,31.9680898054588,2.13353592781455,4,4,4,0.606926920673684,4,41.4236609185356,2,2,2,2,3,2,18,1,12,0,0,5,0,1
"245",1,1,65.7960997592102,-0.955609268013331,4,4,1,0.606926920673684,4,42.1526781629289,4,4,1,3,5,5,34,0,18,1,0,7,0,1
"249",0,1,67.4312076941745,1.26190023797563,5,4,5,0.606926920673684,4,16.9541796977948,4,5,4,5,5,1,68,0,4,1,0,6,0,1
"260",1,1,53.5339799665171,-3.22828282136008,4,3,4,-0.42081276894809,4,16.6221593836696,3,2,1,2,5,4,33,0,9,1,0,4,0,1
"261",0,1,NA,-0.0839735781744181,2,1,2,0.288011200124253,4,100,4,5,5,5,5,NA,45,0,5,1,0,2,1,0
"262",0,1,50,3.00517161765346,3,3,3,0.996835169196596,5,32.8473218370711,4,5,3,3,3,3,24,0,1,0,0,2,0,0
"265",0,1,46.5658901610583,-0.719532933197993,5,4,4,0.288011200124253,1,33.5763390814644,4,1,1,2,4,4,22,1,5,1,0,2,0,0
"272",0,1,82.6906287944558,1.44489798211365,5,4,4,0.606926920673684,5,41.4236609185356,4,4,2,5,5,5,55,0,8,0,0,4,0,1
"277",1,1,82.8980498796051,3.34949059050391,3,1,3,0.996835169196596,5,100,4,3,3,4,5,5,75,1,11,NA,0,6,1,0
"280",1,1,77.128259477757,-1.24684965018646,2,3,3,-0.0309045204251778,5,25.1984984651341,4,3,2,4,5,5,69,1,NA,1,0,5,0,1
"281",0,1,70.1601696722982,0.443343138814045,2,4,4,0.288011200124253,1,58.2443187673393,4,4,2,4,4,5,38,0,1,1,0,2,0,1
"282",0,1,45.3675907574476,-0.428292551024868,3,3,2,-0.0309045204251778,1,8.57633908146444,4,2,2,2,3,4,56,0,3,1,0,5,0,1
"285",0,1,100,3.34949059050391,2,1,2,-0.491805296921572,4,100,4,5,5,5,5,5,68,1,4,1,0,4,1,0
"287",0,1,77.3356805629064,-1.59116862303691,4,4,4,-0.101897048398659,2,50,4,2,3,3,5,5,61,1,9,1,0,4,0,1
"290",1,1,76.1982994036107,1.65929780150341,3,1,2,-0.101897048398659,4,66.9541796977948,3,5,3,4,5,4,54,1,3,1,0,4,0,1
"291",1,1,88.4604191963038,1.31497882865296,4,5,2,0.288011200124253,5,59.4388781748488,4,5,3,5,5,5,68,1,9,1,0,7,0,1
"293",1,1,24.7925789148506,0.840740702341819,1,1,1,0.217018672150771,3,100,4,5,1,3,2,2,59,0,12,1,0,5,1,0
"295",1,1,76.9208383926077,3.34949059050391,4,2,4,-0.101897048398659,1,67.8167187911792,4,4,1,5,5,5,60,1,9,1,0,4,1,0
"296",1,1,94.2302095981519,2.13353592781455,4,4,4,0.677919448647165,4,100,4,5,4,5,5,5,53,1,1,1,0,4,1,0
"298",1,1,77.128259477757,1.31497882865296,4,4,2,-0.101897048398659,5,100,3,3,2,4,5,5,70,1,22,1,0,7,0,0
"302",0,1,88.4604191963038,2.13353592781455,3,1,3,-0.0309045204251778,5,91.6221593836696,4,5,3,5,5,5,65,1,12,1,0,6,1,0
"303",0,1,74.5242395853862,-0.0839735781744181,3,2,4,-0.42081276894809,4,58.5763390814644,4,3,3,5,3,5,37,0,10,1,0,5,1,0
"306",1,1,52.3356805629064,-2.06540674934805,2,1,4,0.288011200124253,3,25.5305187792592,3,2,2,2,4,4,50,0,21,1,0,7,0,1
"307",1,1,77.128259477757,0.443343138814045,2,2,2,-0.739728489497521,5,83.5763390814644,4,4,2,4,5,5,57,1,NA,1,0,2,0,0
"310",0,1,6.96808980545883,0.734583520987171,5,4,5,0.606926920673684,5,24.4694812207408,4,5,1,1,2,1,40,1,21,1,0,8,0,1
"311",0,1,66.0035208443596,-1.29992824086378,4,4,3,-0.42081276894809,3,50,4,4,2,2,5,5,77,1,8,1,0,6,0,1
"312",1,1,45.3675907574476,1.31497882865296,2,1,2,-0.42081276894809,3,41.9541796977948,3,4,2,2,3,4,36,0,NA,1,0,5,1,0
"316",0,1,50.9908783184614,1.26190023797563,1,1,2,-0.739728489497521,2,67.8167187911792,3,1,1,4,4,3,60,1,7,1,0,2,0,0
"317",1,1,50,1.71237639218073,4,1,3,0.677919448647165,1,25.5305187792592,4,2,3,3,3,3,43,1,23,1,0,8,1,0
"318",1,1,100,-0.428292551024868,3,4,3,0.288011200124253,4,100,4,5,5,5,5,5,60,1,11,1,0,4,0,1
"319",1,1,57.4222894649913,-1.06385190604844,3,3,3,-0.810721017471003,5,75,3,4,1,4,3,5,53,1,19,1,0,6,0,0
"320",0,1,52.6040198923708,0.787662111664495,3,1,4,0.217018672150771,3,59.2403797097147,4,4,2,2,5,3,23,1,21,0,0,6,0,1
"322",0,1,52.3356805629064,-0.19221621620953,4,2,4,0.288011200124253,3,16.9541796977948,4,4,2,2,4,4,30,0,9,1,0,6,0,0
"323",1,1,69.2302095981519,0.443343138814045,3,3,3,-0.101897048398659,5,50.5305187792592,4,4,3,4,4,4,39,0,1,1,0,2,1,0
"324",0,1,70.635930086912,-0.245294806886854,2,1,3,-0.42081276894809,3,100,4,4,3,3,5,4,24,1,1,0,0,6,1,0
"326",0,1,53.2656406370527,-2.06540674934805,2,2,4,-0.0309045204251778,2,25.5305187792592,4,2,1,2,4,5,21,0,2,1,0,4,1,0
"327",0,1,39.5978003555995,-1.19377105950913,2,2,4,-0.42081276894809,1,8.57633908146444,4,3,1,2,3,4,61,0,4,1,0,4,0,1
"328",0,1,77.128259477757,0.443343138814045,4,4,4,0.288011200124253,4,50.5305187792592,4,3,2,4,5,5,73,1,12,1,0,8,1,0
"332",0,1,94.2302095981519,0.496421729491369,3,2,2,-0.0309045204251778,1,91.6221593836696,4,5,4,5,5,5,67,0,6,1,0,4,0,0
"334",0,1,12.7378802073069,2.477854900665,5,1,4,0.217018672150771,4,83.0458203022052,4,4,2,1,2,1,29,1,6,1,0,2,1,0
"338",1,1,82.8980498796051,1.31497882865296,4,3,3,-0.101897048398659,4,67.1526781629289,4,5,3,4,5,5,71,1,5,1,0,4,1,0
"340",1,1,100,1.26190023797563,3,1,1,0.217018672150771,4,75,4,5,5,5,5,5,52,1,13,1,0,6,1,0
"342",0,1,52.3356805629064,1.31497882865296,4,2,4,0.288011200124253,3,33.5763390814644,3,3,2,2,4,4,26,0,15,1,0,6,1,0
"344",1,1,88.6678402814532,1.26190023797563,3,1,2,-0.42081276894809,3,91.6221593836696,3,4,4,4,5,5,70,1,5,1,0,6,1,0
"346",1,1,77.128259477757,0.443343138814045,3,2,3,-0.101897048398659,2,33.9083593955896,3,3,2,4,5,5,38,1,4,1,0,3,0,1
"348",0,1,39.5978003555995,-0.666454342520669,2,2,4,-0.810721017471003,4,33.0458203022052,3,2,1,2,3,4,27,0,1,1,0,2,0,1
"352",1,1,50,-0.719532933197993,3,3,3,-0.42081276894809,4,NA,3,3,3,3,3,3,20,0,19,0,0,2,0,1
"356",0,1,63.6678402814532,-0.849452086658683,3,3,4,-0.0309045204251778,1,50,3,2,3,3,4,4,33,1,1,1,0,2,0,0
"358",0,1,77.128259477757,3.00517161765346,4,2,4,0.288011200124253,4,75.5305187792592,4,5,2,4,5,5,68,0,2,1,0,4,1,0
"363",0,1,76.9208383926077,-0.19221621620953,2,2,2,0.606926920673684,4,83.9083593955896,3,1,1,5,5,5,55,1,22,1,0,4,1,0
"364",0,1,34.3037703683652,0.443343138814045,2,1,2,-0.101897048398659,2,50,4,2,1,1,4,3,26,0,NA,0,0,6,0,1
"365",0,1,46.5658901610583,-2.06540674934805,4,4,4,-0.42081276894809,4,33.3778406163304,3,4,1,2,4,4,23,0,20,0,0,5,0,0
"368",1,1,53.2656406370527,-2.06540674934805,4,4,5,-0.739728489497521,4,42.1526781629289,3,3,1,2,4,5,39,1,1,1,0,5,0,1
"369",0,1,94.2302095981519,1.65929780150341,4,3,3,0.288011200124253,5,91.9541796977948,4,5,4,5,5,5,65,0,NA,1,0,7,0,1
"372",1,1,71.7733112462077,1.65929780150341,3,2,4,0.288011200124253,4,59.1068578607237,4,5,3,2,5,5,29,1,4,1,0,4,1,0
"376",1,1,34.3037703683652,0.970659855802509,3,3,2,-0.0309045204251778,5,50,2,1,1,1,4,3,38,0,2,1,0,5,0,1
"377",0,1,50,-0.428292551024868,3,3,3,-0.810721017471003,2,16.9541796977948,3,3,3,3,3,3,35,0,5,0,0,2,0,0
"378",1,1,66.0035208443596,-0.428292551024868,3,3,2,-0.101897048398659,4,25,3,5,2,2,5,5,66,1,20,1,0,6,1,0
"379",0,1,76.1982994036107,0.443343138814045,3,4,4,0.288011200124253,4,50.5305187792592,4,3,3,4,5,4,38,1,1,1,0,4,1,0
"381",0,1,46.5658901610583,-2.06540674934805,3,4,4,-0.42081276894809,3,25,4,2,1,2,4,4,19,0,3,1,0,4,0,1
"384",1,1,61.3321597185468,-3.4112805654981,3,3,3,0.217018672150771,1,67.1526781629289,3,3,4,4,3,3,35,1,NA,1,0,1,1,0
"386",1,1,77.3356805629064,-0.375213960347544,2,1,2,-0.0309045204251778,5,83.9083593955896,4,5,3,3,5,5,38,1,20,1,0,4,1,0
"387",0,1,50,-0.719532933197993,3,3,3,-0.101897048398659,2,50,4,3,3,3,3,3,28,0,9,1,0,7,0,1
"388",0,1,81.9680898054588,1.31497882865296,4,2,4,-0.0309045204251778,3,41.4236609185356,4,4,4,4,5,4,27,0,14,1,0,6,0,0
"389",1,1,50,-2.46280431287582,3,3,3,0.677919448647165,5,0,3,1,3,3,3,3,34,0,22,0,0,6,0,1
"390",1,1,65.7960997592102,-0.719532933197993,2,1,3,-0.42081276894809,5,50.1984984651341,4,4,1,3,5,5,77,1,8,1,0,6,1,0
"396",0,1,100,-2.93704243918696,1,1,3,-0.0309045204251778,4,100,4,2,5,5,5,5,52,1,4,1,0,8,1,0
"398",0,1,70.3675907574475,0.099024165963596,4,3,3,-0.349820240974609,3,75.5305187792592,3,5,3,3,4,5,63,1,19,1,0,6,0,1
"399",0,1,62.2621197926931,0.787662111664495,2,1,3,-1.12963673802043,3,58.3778406163304,4,4,3,4,3,4,28,1,1,1,0,3,1,0
"401",1,1,86.6004990480113,-0.0308949874970942,2,4,4,0.606926920673684,2,100,4,5,5,5,5,3,51,0,20,1,0,3,0,1
"403",1,1,63.6678402814532,-0.719532933197993,3,2,3,0.288011200124253,2,66.9541796977948,4,4,3,3,4,4,62,0,6,1,0,6,0,0
"404",1,1,52.3965988072215,2.13353592781455,4,4,4,0.606926920673684,4,83.5763390814644,4,5,1,3,5,3,72,0,7,1,0,5,1,0
"408",1,1,81.6997504759944,-1.7210877764976,2,1,3,0.288011200124253,4,25.5305187792592,4,5,4,4,4,5,55,0,NA,1,0,7,1,0
"409",1,1,66.0035208443596,-1.06385190604844,1,1,2,0.288011200124253,3,50,3,3,2,2,5,5,53,0,5,1,0,4,1,0
"410",0,1,82.6906287944558,2.477854900665,4,2,4,0.288011200124253,4,66.6221593836696,4,2,2,5,5,5,55,1,16,1,0,6,1,0
"412",0,1,94.2302095981519,2.18661451849187,2,4,2,0.288011200124253,4,91.9541796977948,4,1,4,5,5,5,53,0,19,1,0,6,0,1
"413",1,1,52.0673412334419,-2.93704243918696,5,3,4,-0.101897048398659,5,25.3320203141251,3,4,2,2,3,5,41,1,22,0,0,7,0,1
"414",1,1,47.7032713203539,-2.88396384850964,4,4,5,-1.12963673802043,5,25.3320203141251,3,1,1,1,4,5,28,1,1,1,0,6,0,1
"415",0,1,45.635930086912,0.443343138814045,4,3,3,-0.101897048398659,5,83.0458203022052,3,4,2,2,4,3,57,0,12,1,0,5,0,1
"421",1,1,44.7668882570808,-2.4097257221985,2,1,1,-0.810721017471003,5,25.5305187792592,4,5,2,3,5,1,34,0,2,0,1,2,0,1
"422",0,1,39.8661396850639,-1.19377105950913,3,3,4,-0.42081276894809,1,34.1068578607237,4,3,1,2,4,3,47,1,NA,1,0,6,0,1
"423",1,1,82.8980498796051,1.31497882865296,2,1,1,-0.42081276894809,4,100,3,3,3,4,5,5,56,1,17,1,0,3,1,0
"424",1,1,73.5942795112399,-1.29992824086378,4,5,5,0.996835169196596,3,66.6221593836696,4,1,4,5,3,4,25,1,6,1,0,6,1,0
"425",0,1,53.2656406370527,-3.75559953834855,2,2,4,-0.810721017471003,4,50.3320203141251,4,2,1,2,4,5,18,1,4,1,0,2,0,1
"426",1,1,71.3584690759089,-2.88396384850964,1,1,2,-0.42081276894809,4,83.9083593955896,3,3,1,4,5,5,47,0,19,0,1,7,0,1
"427",1,1,45.635930086912,-0.719532933197993,4,4,4,-0.0309045204251778,3,25,3,2,2,2,4,3,36,0,12,1,0,2,0,1
"428",0,1,77.128259477757,1.31497882865296,2,4,2,-0.42081276894809,2,67.484698477054,4,3,2,4,5,5,30,1,19,1,0,4,1,0
"431",1,1,5.56236931669873,1.31497882865296,4,4,4,-0.42081276894809,1,100,3,1,1,2,1,1,63,0,8,1,0,7,0,1
"432",1,1,94.2302095981519,1.31497882865296,4,3,4,0.288011200124253,4,59.1068578607237,4,5,4,5,5,5,60,1,9,1,0,8,0,0
"435",1,1,60.2337304425115,-1.29992824086378,4,4,4,-0.101897048398659,4,NA,3,5,1,2,5,5,77,0,4,0,0,4,0,1
"436",1,1,55.5623693166987,-1.19377105950913,3,3,3,-0.101897048398659,1,50.5305187792592,3,1,3,4,3,3,21,1,1,0,1,2,0,0
"437",1,1,71.3584690759089,1.31497882865296,2,2,2,0.288011200124253,4,75.5305187792592,4,2,1,4,5,5,64,1,24,1,0,8,1,0
"438",0,1,20.0992514279831,-4.7885564568999,2,1,3,-0.0309045204251778,4,0,4,1,1,1,1,4,32,1,NA,0,0,6,0,0
"439",1,1,59.0354310389007,-0.428292551024868,4,4,3,-0.101897048398659,5,75,4,4,2,2,4,5,66,0,10,0,1,3,0,1
"440",0,1,47.9716106498184,1.65929780150341,4,2,2,0.217018672150771,1,91.4236609185356,4,5,1,1,5,4,38,0,3,0,0,4,0,0
"441",0,1,50.9299600741463,-1.24684965018646,4,2,4,0.288011200124253,4,75,3,4,2,3,3,4,18,1,13,0,0,2,0,1
"442",0,1,70.8433511720614,0.840740702341819,2,1,2,0.606926920673684,3,66.6221593836696,4,3,4,2,5,4,53,0,16,1,0,6,0,1
"445",0,1,60.2337304425115,0.787662111664495,3,2,2,0.606926920673684,4,50.8625390933844,4,5,1,2,5,5,61,1,1,1,0,6,1,0
"446",0,1,62.2621197926931,-1.24684965018646,3,4,2,-0.101897048398659,4,50,3,2,3,4,3,4,45,0,2,0,1,2,0,0
"447",0,1,88.6678402814532,0.787662111664495,1,1,1,-0.491805296921572,4,41.6221593836696,4,5,4,4,5,5,47,1,10,1,0,4,1,0
"448",1,1,37.5913773664727,-3.22828282136008,1,1,1,-1.12963673802043,3,75,3,1,1,4,4,1,23,0,11,0,1,4,0,0
"452",1,1,13.9361796109176,-4.7885564568999,1,1,3,-1.12963673802043,4,0,2,1,1,1,3,1,32,1,3,1,0,4,0,0
"455",0,1,100,1.60621921082608,1,1,1,0.288011200124253,5,100,4,3,5,5,5,5,56,1,23,1,0,6,1,0
"457",1,1,94.2302095981519,-0.0839735781744181,2,1,2,-0.101897048398659,5,59.1068578607237,4,4,4,5,5,5,67,1,6,1,0,8,0,1
"458",1,1,76.9208383926077,3.34949059050391,4,4,4,-0.42081276894809,5,83.5763390814644,4,4,1,5,5,5,48,1,3,1,0,4,0,1
"477",0,1,34.3037703683652,-4.44423748404945,1,2,4,-1.12963673802043,4,8.57633908146444,3,2,1,1,4,3,21,0,3,0,0,4,0,1
"480",1,1,46.5658901610583,-4.099918511199,3,2,5,-0.739728489497521,3,0,4,2,1,2,4,4,22,1,6,1,0,4,0,0
"481",1,1,63.6678402814532,2.13353592781455,3,2,4,0.606926920673684,2,8.57633908146444,4,4,3,3,4,4,45,0,10,1,0,5,0,0
"484",1,1,61.9937804632286,-1.59116862303691,2,2,4,-0.101897048398659,4,58.5763390814644,3,2,3,4,2,5,37,1,9,1,0,7,1,0
"485",0,1,60.4021996444005,0.734583520987171,5,4,5,0.217018672150771,3,50.3320203141251,3,5,5,4,3,2,29,1,19,1,0,6,1,0
"487",1,1,75,1.31497882865296,4,4,4,0.996835169196596,4,49.8015015348659,3,4,4,4,4,4,34,1,19,1,0,6,0,1
"488",0,1,82.8980498796051,1.31497882865296,3,3,2,-0.42081276894809,5,100,4,3,3,4,5,5,79,0,1,1,0,5,1,0
"489",1,1,77.3356805629064,-1.19377105950913,5,4,4,-0.42081276894809,4,41.9541796977948,4,4,3,3,5,5,28,1,9,1,0,7,0,1
"490",1,1,70.4285090017626,-1.17000908740309,5,5,5,0.606926920673684,4,33.3778406163304,3,4,2,4,5,4,34,1,21,1,0,8,0,1
"491",0,1,94.2302095981519,3.34949059050391,5,5,2,0.996835169196596,5,67.484698477054,4,5,4,5,5,5,35,1,20,1,0,7,1,0
