"","denial","adversary","esca_scaled","MA_scaled","GovTrust","NewsTrust","IntTrust","NC_scaled","Read.FP","reputation_scaled","ambiguity","insulting","war","airstrike","sanctions","diplomacy","age","male","hhi","white","black","education","republican","democrat"
"794",0,1,79.0957305836235,3.34949059050391,1,2,3,-0.101897048398659,4,100,4,5,5,5,2,5,43,1,2,1,0,1,1,0
"797",1,1,88.4604191963038,1.26190023797563,2,2,1,-0.491805296921572,4,83.5763390814644,4,5,3,5,5,5,66,0,16,1,0,6,1,0
"798",1,1,NA,1.31497882865296,2,2,2,-0.0309045204251778,2,58.3778406163304,3,3,NA,3,4,4,57,1,9,0,0,8,0,0
"800",0,1,77.3356805629064,3.34949059050391,5,5,4,0.677919448647165,5,75,4,5,3,3,5,5,39,1,20,1,0,5,0,1
"801",0,1,55.5623693166987,-0.375213960347544,1,1,1,0.288011200124253,3,8.57633908146444,3,2,3,4,3,3,38,1,1,0,0,5,0,0
"804",1,1,71.3584690759089,-1.98856618656468,4,4,2,0.288011200124253,2,25.7290172443933,3,4,1,4,5,5,70,0,6,1,0,4,0,1
"806",1,1,23.5942795112399,3.34949059050391,4,4,2,0.677919448647165,4,41.0916406044104,3,4,2,3,1,2,35,1,1,1,0,7,0,1
"808",1,1,49.0700399258537,2.13353592781455,3,4,2,0.288011200124253,4,41.0916406044104,2,1,4,3,3,2,21,1,17,0,0,7,0,0
"815",1,1,44.2302095981519,-3.75559953834855,2,1,2,-0.42081276894809,1,0,3,1,2,3,3,3,53,1,3,1,0,2,0,0
"819",0,1,88.6678402814532,0.443343138814045,3,4,2,-0.101897048398659,3,75,3,4,4,4,5,5,37,1,20,1,0,6,1,0
"820",1,1,77.128259477757,1.31497882865296,4,4,4,0.288011200124253,4,91.9541796977948,3,5,2,4,5,5,48,1,7,0,0,6,1,0
"821",0,1,100,3.34949059050391,5,5,5,0.996835169196596,5,25.1984984651341,4,1,5,5,5,5,30,1,19,0,0,6,0,1
"824",0,1,75.7225389889969,2.13353592781455,5,4,5,0.996835169196596,5,25,4,5,2,5,4,5,40,1,19,1,0,7,0,1
"826",1,1,94.2302095981519,0.787662111664495,3,2,1,0.606926920673684,4,83.9083593955896,4,5,4,5,5,5,47,0,1,1,0,2,0,1
"829",0,1,32.8980498796051,-0.902530677336007,2,2,3,-0.101897048398659,4,33.3778406163304,4,4,1,2,3,3,21,1,3,0,1,4,0,1
"834",1,1,50,0.496421729491369,2,2,2,-0.101897048398659,1,25,4,5,3,3,3,3,31,0,8,1,0,4,1,0
"835",0,1,46.5658901610583,-2.06540674934805,1,1,3,-0.101897048398659,3,8.57633908146444,2,3,1,2,4,4,32,1,8,1,0,2,0,0
"844",1,1,30.5623693166987,-2.4097257221985,2,4,3,-0.101897048398659,3,24.6679796858749,2,3,2,3,2,2,39,0,6,0,0,7,0,0
"847",0,1,88.4604191963038,0.787662111664495,2,1,1,0.359003728097735,4,83.9083593955896,4,5,3,5,5,5,56,1,5,1,0,8,1,0
"850",0,1,71.5658901610583,1.26190023797563,4,3,3,-0.101897048398659,4,58.9083593955896,4,5,2,3,5,5,72,0,3,1,0,7,0,1
"851",1,1,49.7316606705355,1.31497882865296,4,3,1,-0.101897048398659,2,58.0458203022052,4,3,3,3,2,4,25,0,NA,0,0,1,0,1
"853",0,1,70.635930086912,-0.375213960347544,2,3,3,-0.101897048398659,4,41.9541796977948,4,2,3,3,5,4,31,0,5,0,0,8,0,1
"854",1,1,100,2.13353592781455,4,3,2,0.288011200124253,1,83.3778406163304,4,4,5,5,5,5,72,0,1,1,0,2,1,0
"855",0,1,100,3.34949059050391,2,2,3,0.606926920673684,5,100,4,5,5,5,5,5,63,1,5,1,0,5,1,0
"856",0,1,71.5658901610583,-2.4097257221985,4,2,2,-1.12963673802043,3,58.3778406163304,4,3,2,3,5,5,36,0,NA,1,0,7,0,1
"857",0,1,82.6906287944558,1.65929780150341,1,1,3,-0.42081276894809,5,91.9541796977948,4,5,2,5,5,5,48,1,12,1,0,8,1,0
"859",1,1,57.8980498796051,-1.24684965018646,2,2,3,-0.810721017471003,3,33.2443187673393,3,3,2,3,4,4,23,0,1,1,0,8,0,1
"861",0,1,88.4604191963038,1.36805741933028,1,1,3,-0.101897048398659,3,33.9083593955896,4,5,3,5,5,5,56,1,8,1,0,4,0,0
"863",1,1,69.2302095981519,0.443343138814045,4,4,4,0.288011200124253,5,50.5305187792592,3,4,3,4,4,4,67,0,8,1,0,6,0,1
"872",0,1,50.4757604146138,0.443343138814045,4,3,4,0.288011200124253,3,49.6679796858749,4,4,4,2,4,2,37,0,20,0,0,7,0,1
"878",1,1,57.8980498796051,-2.06540674934805,2,1,4,-0.42081276894809,4,75,3,4,2,3,4,4,25,0,4,1,0,4,0,1
