,denial,adversary,esca_scaled,MA_scaled,GovTrust,NewsTrust,IntTrust,NC_scaled,Military.Service,Read.FP,reputation_scaled,ambiguity,insulting,war,airstrike,sanctions,diplomacy,age,male,hhi,white,black,education,republican,democrat
63,1,1,38.34475744,-2.559317002,4,3,2,-0.396468989,0,3,66.8804085,3,5,1,1,4,4,48,0,14,0,0,6,0,1
64,1,1,0,-4.339049168,2,1,2,-1.154052081,0,3,33.76081701,3,2,1,1,1,1,21,0,8,0,0,2,0,0
65,0,1,62.3216847,0.099260854,4,4,4,-0.061519851,0,5,58.51967812,3,4,4,4,4,2,34,0,18,1,0,8,0,1
66,0,1,69.14600274,-0.768723891,2,1,3,-0.061519851,0,1,25.55903436,4,4,2,3,5,5,32,0,7,1,0,6,0,1
67,0,1,36.65524256,1.793581818,3,3,3,0.361114103,0,5,66.8804085,4,4,4,4,1,1,62,0,2,1,0,4,1,0
68,1,1,68.60809039,1.011008275,2,2,2,-0.061519851,0,4,58.20178265,3,2,2,4,5,4,31,1,10,1,0,5,1,0
69,0,1,25.35663059,-4.339049168,3,3,3,-1.154052081,0,5,50.31789547,4,4,1,1,1,5,55,1,19,0,0,8,0,0
70,0,1,75.56317163,-0.587040541,5,5,1,1.118697195,0,5,0,4,5,3,3,5,5,45,1,8,1,0,8,0,1
71,1,1,69.12074346,1.41813765,4,3,4,0.783748057,1,3,66.8804085,3,4,3,3,4,5,75,1,5,0,0,5,1,0
72,1,1,56.44242817,-0.147009435,3,3,3,-0.396468989,0,5,66.8804085,3,1,3,3,4,3,61,1,6,1,0,4,0,1
73,0,1,69.12074346,-0.147009435,3,2,3,-0.819102943,0,4,41.63926961,4,5,3,3,4,5,49,0,11,1,0,4,0,1
74,1,1,19.12074346,-1.77674346,3,4,3,-0.731418127,1,5,8.519678118,3,1,1,1,2,3,49,1,9,1,0,7,0,1
75,0,1,100,3.423315842,2,1,2,0.361114103,0,3,91.63926961,4,4,5,5,5,5,55,0,16,1,0,7,1,0
76,1,1,50,-2.087600688,3,3,3,0.783748057,0,4,0,3,2,3,3,3,3,63,1,15,1,0,2,0,0
77,0,1,87.16566223,1.793581818,2,1,4,0.361114103,0,5,67.03935624,4,5,3,5,5,5,58,1,5,1,0,2,1,0
78,1,1,25,-0.83331083,2,2,2,-0.061519851,1,2,17.03935624,2,2,2,2,2,2,36,0,13,1,0,4,0,1
79,1,1,100,2.17988693,5,5,5,1.118697195,1,5,100,4,5,5,5,5,5,60,1,4,1,0,4,0,1
80,0,1,100,1.48272459,4,4,3,-0.061519851,0,5,100,4,5,5,5,5,5,59,0,9,0,0,6,0,1
81,0,1,56.33915765,1.48272459,2,3,3,-0.396468989,0,1,75,4,4,3,3,3,4,40,0,5,1,0,4,0,1
82,1,1,50.48516039,-1.77674346,3,3,4,-0.396468989,0,4,42.03935624,3,2,1,2,4,5,57,0,3,1,0,7,0,1
83,1,1,50,2.265298132,2,1,3,0.273429287,0,4,75,3,4,3,3,3,3,43,0,19,1,0,7,1,0
84,0,1,62.06239171,-2.248459774,1,1,3,-0.819102943,0,4,41.63926961,3,3,2,4,3,5,39,0,4,1,0,4,0,1
85,1,1,38.34475744,-0.994169917,2,1,4,0.026164965,0,4,58.51967812,3,3,1,1,4,4,51,0,16,1,0,4,0,1
86,0,1,18.63558307,-1.841330399,1,1,3,-0.396468989,0,4,33.51967812,4,3,3,2,1,1,45,0,5,1,0,5,1,0
87,1,1,19.12074346,0.099260854,4,4,5,-0.484153805,0,1,8.519678118,2,3,1,1,2,3,22,0,3,0,0,4,0,0
88,0,1,50.48516039,-0.929582978,4,4,4,-0.061519851,0,4,66.48032188,4,3,1,2,4,5,36,0,19,1,0,6,0,1
89,0,1,80.74849334,0.013849652,4,4,4,0.696063241,0,5,100,4,5,2,5,5,5,49,0,3,1,0,6,0,1
90,1,1,24.92198876,3.112458614,1,1,2,-0.396468989,0,4,50,3,4,1,2,2,3,48,0,20,1,0,6,1,0
91,1,1,37.14040295,0.861010134,2,1,2,0.026164965,0,5,66.63926961,3,3,2,3,2,3,62,0,5,1,0,3,1,0
